time	intensity
45.84361764	127
45.87105248	120
45.89848732	133
45.92592216	146
45.953357	130
45.98079184	118
46.00822668	127
46.03566152	115
46.06309636	120
46.0905312	100
46.11796604	124
46.14540088	108
46.17283572	114
46.20027056	128
46.2277054	103
46.25514024	103
46.28257508	133
46.31000992	124
46.33744476	120
46.3648796	98
46.39231444	118
46.41974928	117
46.44718412	120
46.47461896	129
46.5020538	110
46.52948864	126
46.55692348	93
46.58435832	114
46.61179316	95
46.639228	106
46.66666284	123
46.69409768	108
46.72153252	106
46.74896736	109
46.7764022	119
46.80383704	93
46.83127188	100
46.85870672	107
46.88614156	89
46.9135764	101
46.94101124	96
46.96844608	109
46.99588092	93
47.02331576	88
47.0507506	94
47.07818544	109
47.10562028	111
47.13305512	109
47.16048996	124
47.1879248	102
47.21535964	109
47.24279448	100
47.27022932	108
47.29766416	96
47.325099	90
47.35253384	83
47.37996868	103
47.40740352	82
47.43483836	81
47.4622732	84
47.48970804	92
47.51714288	68
47.54457772	93
47.57201256	87
47.5994474	88
47.62688224	89
47.65431708	75
47.68175192	89
47.70918676	76
47.7366216	85
47.76405644	87
47.79149128	87
47.81892612	73
47.84636096	86
47.8737958	66
47.90123064	91
47.92866548	90
47.95610032	73
47.98353516	96
48.01097	77
48.03840484	87
48.06583968	84
48.09327452	75
48.12070936	93
48.1481442	80
48.17557904	62
48.20301388	89
48.23044872	78
48.25788356	90
48.2853184	68
48.31275324	76
48.34018808	73
48.36762292	64
48.39505776	72
48.4224926	81
48.44992744	74
48.47736228	66
48.50479712	70
48.53223196	92
48.5596668	73
48.58710164	77
48.61453648	76
48.64197132	67
48.66940616	73
48.696841	71
48.72427584	56
48.75171068	72
48.77914552	78
48.80658036	53
48.8340152	91
48.86145004	63
48.88888488	46
48.91631972	82
48.94375456	73
48.9711894	64
48.99862424	68
49.02605908	64
49.05349392	58
49.08092876	66
49.1083636	82
49.13579844	67
49.16323328	74
49.19066812	79
49.21810296	62
49.2455378	62
49.27297264	74
49.30040748	61
49.32784232	64
49.35527716	70
49.382712	70
49.41014684	67
49.43758168	68
49.46501652	59
49.49245136	73
49.5198862	62
49.54732104	51
49.57475588	59
49.60219072	67
49.62962556	53
49.6570604	70
49.68449524	69
49.71193008	62
49.73936492	63
49.76679976	66
49.7942346	54
49.82166944	63
49.84910428	68
49.87653912	56
49.90397396	63
49.9314088	59
49.95884364	66
49.98627848	45
50.01371332	72
50.04114816	56
50.068583	67
50.09601784	62
50.12345268	48
50.15088752	64
50.17832236	64
50.2057572	39
50.23319204	49
50.26062688	37
50.28806172	48
50.31549656	54
50.3429314	48
50.37036624	56
50.39780108	50
50.42523592	54
50.45267076	64
50.4801056	42
50.50754044	49
50.53497528	48
50.56241012	54
50.58984496	47
50.6172798	49
50.64471464	56
50.67214948	43
50.69958432	51
50.72701916	62
50.754454	57
50.78188884	42
50.80932368	57
50.83675852	45
50.86419336	51
50.8916282	62
50.91906304	51
50.94649788	47
50.97393272	48
51.00136756	52
51.0288024	35
51.05623724	49
51.08367208	48
51.11110692	52
51.13854176	52
51.1659766	50
51.19341144	48
51.22084628	42
51.24828112	44
51.27571596	47
51.3031508	44
51.33058564	41
51.35802048	49
51.38545532	35
51.41289016	51
51.440325	43
